         ps                   pmem_write                            pmem_wdata      
          delta                  pmem_address                                       
          0  +0                        x xxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 
          0  +1                        0 xxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 
    5165000  +3                        1 0154 600d600d600d600d600d600d600d0030 
    5395000  +5                        0 0050 600d600d600d600d600d600d600d0030 
    5705000  +3                        1 0058 52205220522052205220522000b05220 
    5935000  +5                        0 00d0 52205220522052205220522000b05220 
    6235000  +6                        1 00d2 baadbaadbaadbaadbaad0130baadbaad 
    6465000  +5                        0 0150 baadbaadbaadbaadbaad0130baadbaad 
    6775000  +6                        1 015a 600d600d600d0130600d600d600d0030 
    7005000  +5                        0 0050 600d600d600d0130600d600d600d0030 
   11615000  +6                        1 00b4 600d600d0060600d600d600d600d60fa 
   11845000  +5                        0 0030 600d600d0060600d600d600d600d60fa 
